id,From_country,To_country,Points,Round,Voting_Method,Host_Nation,OOA,Average_Points,VBlocs1_FC,VBlocs2_FC,VBlocs1_TC,VBlocs2_TC,ComVBlocs1,ComVBlocs2,FC_LANGFAM,TC_LANGFAM,ComLANGFAM,Neighbours,TC_NumNeigh,FC_NonCOB,FC_NonCitzens,FC_COB,FC_Citizens,FC_Population,METRIC_COB,METRIC_Citizens,METRIC_COBCit,FC_GDP_mil,TC_GDP_mil,GDP_PROP,FC_CAP_LAT,FC_CAP_LON,TC_CAP_LAT,TC_CAP_LON,CAP_DIST_km,TC_PerfType,TC_SingerGender,FC_SONGLANG,TC_SONGLANG,ComSONGLAN,danceability,energy,key,loudiness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,Belgium,Albania,2,sf2,T,n,17,5.625,5,1,1,3,n,n,Germanic,Albanian,n,n,3,9855,6088,9461830,9977874,11311117,0.005329080883605,0.00456630936746,0.009895390251065,466365.73,11926.86,39.1021383666782,50.8503,4.3517,41.3275,119.8187,8011.1901869688,Solo,Female,English,English,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Bulgaria,Albania,2,sf2,J,n,17,3,1,3,1,3,y,y,Slavic,Albanian,n,n,3,1134,350,7015969,7075726,7153784,0.008228422160142,0.004483845345769,0.012712267505911,52395.16,11926.86,4.39303890546213,42.6977,23.3219,41.3275,119.8187,7487.15455156766,Solo,Female,Mixed,English,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,F.Y.R. Macedonia,Albania,12,sf2,T,n,17,11.3076923076923,9,2,1,3,n,n,Slavic,Albanian,n,y,3,NA,NA,NA,NA,2071278,NA,NA,NA,10899.58,11926.86,0.913868360993589,41.9973,21.428,41.3275,119.8187,7658.52155711706,Solo,Female,Macedonian,English,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Italy,Albania,8,sf2,T,n,17,12,1,3,1,3,y,y,ItalicRomance,Albanian,n,n,3,449663,467687,54758099,55639398,60665551,0.076117926984426,0.093050689065773,0.169168616050198,1849970.46,11926.86,155.109597999809,41.9028,12.4964,41.3275,119.8187,8235.16200515603,Solo,Female,Mixed,English,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Serbia,Albania,8,sf2,J,n,17,5,1,2,1,3,y,n,Slavic,Albanian,n,n,3,NA,NA,NA,NA,33005,NA,NA,NA,37745.11,11926.86,3.1647147698556,44.7866,20.4489,41.3275,119.8187,7534.94138255845,Solo,Female,English,English,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Slovenia,Albania,3,sf2,T,n,17,3.71428571428571,1,2,1,3,y,n,Slavic,Albanian,n,n,3,126,87,1822985,1956422,2064188,0.000522381562418,0.000807304715773,0.001329686278191,43990.64,11926.86,3.68836726514774,46.0569,14.5058,41.3275,119.8187,7811.83618193624,Solo,Female,English,English,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Switzerland,Albania,10,sf2,T,n,17,8.53846153846154,1,5,1,3,y,n,Germanic,Albanian,n,n,3,2797,1590,5910732,6278459,8327126,0.001157509909394,0.000776114419767,0.001933624329161,659827.24,11926.86,55.3227957735733,46.948,7.4474,41.3275,119.8187,8150.10107824944,Solo,Female,English,English,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Albania,Armenia,2,f,T,n,26,3.33333333333333,1,3,1,1,y,n,Albanian,Armenian,n,n,2,NA,NA,NA,NA,2886026,NA,NA,NA,11926.86,10547.33,1.13079423892113,41.3275,119.8187,40.1792,44.4991,6132.20115220398,Solo,Female,English,English,1,0.535,0.712,5,-7.82,0,0.0541,0.0861,5.81E-06,0.11,0.319,119.906,178327,4
9,Austria,Armenia,2,f,J,n,26,8.5,2,6,1,1,n,n,Germanic,Armenian,n,n,2,3307,3558,7106289,7433203,8690076,0.002088033302458,0.002830834937181,0.004918868239639,386427.79,10547.33,36.6374987793119,48.2082,16.3738,40.1792,44.4991,2396.65349668871,Solo,Female,French,English,0,0.535,0.712,5,-7.82,0,0.0541,0.0861,5.81E-06,0.11,0.319,119.906,178327,4
10,Austria,Armenia,5,sf1,J,n,7,8.5,2,6,1,1,n,n,Germanic,Armenian,n,n,2,3307,3558,7106289,7433203,8690076,0.002088033302458,0.002830834937181,0.004918868239639,386427.79,10547.33,36.6374987793119,48.2082,16.3738,40.1792,44.4991,2396.65349668871,Solo,Female,French,English,0,0.535,0.712,5,-7.82,0,0.0541,0.0861,5.81E-06,0.11,0.319,119.906,178327,4
