"From.country","To.country","Average.Points"
"Albania","Armenia",3.33333333333333
"Albania","Australia",3
"Albania","Austria",5
"Albania","Azerbaijan",6.14285714285714
"Albania","Belarus",3
"Albania","Belgium",2
"Albania","Bosnia & Herzegovina",8.33333333333333
"Albania","Bulgaria",4.25
"Albania","Croatia",4.33333333333333
"Albania","Cyprus",5.5
"Albania","Denmark",3
"Albania","Estonia",2
"Albania","F.Y.R. Macedonia",8.58333333333333
"Albania","Finland",3
"Albania","France",2
"Albania","Germany",4.375
"Albania","Greece",10.0555555555556
"Albania","Hungary",6.85714285714286
"Albania","Iceland",6.33333333333333
"Albania","Ireland",4.33333333333333
"Albania","Israel",4.42857142857143
"Albania","Italy",10.6
"Albania","Malta",4.3
"Albania","Moldova",3.66666666666667
"Albania","Montenegro",7.5
"Albania","Norway",4.5
"Albania","Poland",6
"Albania","Russia",4.66666666666667
"Albania","San Marino",7.25
"Albania","Serbia",3.08333333333333
"Albania","Slovenia",5.66666666666667
"Albania","Spain",7
"Albania","Sweden",4.9
"Albania","Switzerland",5
"Albania","The Netherlands",4.5
"Albania","Ukraine",4.4
"Albania","United Kingdom",3.5
"Armenia","Albania",1
"Armenia","Australia",1
"Armenia","Austria",3
"Armenia","Azerbaijan",1.5
"Armenia","Belarus",7.8
"Armenia","Belgium",3.66666666666667
"Armenia","Bosnia & Herzegovina",4.25
"Armenia","Bulgaria",5
"Armenia","Croatia",4.5
"Armenia","Cyprus",5.66666666666667
"Armenia","Denmark",3.75
"Armenia","Estonia",5
"Armenia","F.Y.R. Macedonia",7.5
"Armenia","Finland",6
"Armenia","France",3.75
"Armenia","Georgia",9.7
"Armenia","Germany",6
"Armenia","Greece",7.66666666666667
"Armenia","Hungary",1
"Armenia","Iceland",5
"Armenia","Ireland",2
"Armenia","Israel",6.8
"Armenia","Italy",4.33333333333333
"Armenia","Latvia",2
"Armenia","Lithuania",3
"Armenia","Malta",5.75
"Armenia","Moldova",4.5
"Armenia","Montenegro",8.25
"Armenia","Norway",4.22222222222222
"Armenia","Poland",3
"Armenia","Russia",10.6153846153846
"Armenia","San Marino",3.5
"Armenia","Serbia",5.25
"Armenia","Slovenia",3
"Armenia","Spain",3.33333333333333
"Armenia","Sweden",5.42857142857143
"Armenia","Switzerland",3.33333333333333
"Armenia","The Netherlands",5.25
"Armenia","Ukraine",8.8
"Armenia","United Kingdom",4.5
"Australia","Belgium",6
"Australia","Estonia",3
"Australia","Georgia",1
"Australia","Israel",2
"Australia","Italy",8
"Australia","Latvia",7
"Australia","Norway",4
"Australia","Russia",10
"Australia","Serbia",5
"Australia","Sweden",12
"Austria","Albania",6.33333333333333
"Austria","Armenia",8.5
"Austria","Australia",12
"Austria","Azerbaijan",10
"Austria","Belarus",10
"Austria","Belgium",3.26666666666667
"Austria","Bosnia & Herzegovina",8.72727272727273
"Austria","Bulgaria",4.66666666666667
"Austria","Croatia",6.8
"Austria","Cyprus",3.66666666666667
"Austria","Denmark",6.3125
"Austria","Estonia",4.25
"Austria","F.Y.R. Macedonia",3
"Austria","Finland",5
"Austria","France",7.4
"Austria","Germany",5.55
"Austria","Greece",3.78571428571429
"Austria","Hungary",5.42857142857143
"Austria","Iceland",3.9
"Austria","Ireland",7.52380952380952
"Austria","Israel",4.76470588235294
"Austria","Italy",5.58333333333333
"Austria","Latvia",4.8
"Austria","Malta",4.55555555555556
"Austria","Moldova",4.42857142857143
"Austria","Montenegro",12
"Austria","Norway",4.25
"Austria","Poland",6.42857142857143
"Austria","Russia",7.375
"Austria","Serbia",9.55555555555556
"Austria","Slovenia",4
"Austria","Spain",5.66666666666667
"Austria","Sweden",7.42105263157895
"Austria","Switzerland",5.42105263157895
"Austria","The Netherlands",5.625
"Austria","Ukraine",3.33333333333333
"Austria","United Kingdom",7.26086956521739
"Azerbaijan","Albania",4.4
"Azerbaijan","Austria",1
"Azerbaijan","Belarus",7
"Azerbaijan","Belgium",4
"Azerbaijan","Bosnia & Herzegovina",3
"Azerbaijan","Bulgaria",4
"Azerbaijan","Croatia",3.33333333333333
"Azerbaijan","Cyprus",2
"Azerbaijan","Denmark",4.25
"Azerbaijan","Estonia",4
"Azerbaijan","Finland",3
"Azerbaijan","Georgia",8.75
"Azerbaijan","Germany",1
"Azerbaijan","Greece",7
"Azerbaijan","Hungary",5.6
