"Country","VBlocs1_EB","VBlocs2_SRW"
"Albania","1","3"
"Armenia","1","4"
"Australia","1","5"
"Austria","2","2"
"Azerbaijan","3","4"
"Belarus","4","4"
"Belgium","5","4"
"Bosnia & Herzegovina","1","2"
"Bulgaria","1","3"
"Croatia","1","2"
"Cyprus","6","3"
"Czech Republic","7","4"
"Denmark","1","5"
"Estonia","8","1"
"F.Y.R. Macedonia","9","2"
"Finland","10","1"
"France","11","2"
"Georgia","12","4"
"Germany","13","2"
"Greece","14","3"
"Hungary","1","1"
"Iceland","15","5"
"Ireland","1","3"
"Israel","16","4"
"Italy","1","3"
"Latvia","17","1"
"Lithuania","18","1"
"Malta","19","4"
"Moldova","20","4"
"Montenegro","1","2"
"Norway","21","5"
"Poland","1","1"
"Russia","3","4"
"San Marino","1","3"
"Serbia","1","2"
"Slovenia","1","2"
"Spain","1","6"
"Sweden","1","5"
"Switzerland","1","2"
"The Netherlands","1","1"
"Ukraine","3","4"
"United Kingdom","1","3"
