"","mean","variance","min","max","range","NA %"
"id",840.5,235340,1,1680,1679,0
"Points",5.8,11.17,1,12,11,0
"OOA",11.76,41.44,1,26,25,0
"Average_Points",5.18,6.71,0,12,12,0
"TC_NumNeigh",3.4,5.93,0,9,9,0
"FC_NonCOB",24641.89,4925002695.24,1,844024,844023,55
"FC_NonCitzens",24012.5,5690815617.33,0,928257,928257,46.131
"FC_COB",10189782.74,183045414750420,290507,54758099,54467592,54.762
"FC_Citizens",16452411.52,446871194297009,306044,73523726,73217682,45.238
"FC_Population",15021478.42,443090862895409,33005,82800000,82766995,4.762
"METRIC_COB",0.02,0,0,0.65,0.65,56.31
"METRIC_Citizens",0.02,0,0,0.48,0.48,49.464
"METRIC_COBCit",0.04,0.01,0,1.09,1.09,56.369
"FC_GDP_mil",474131.91,619276006218.89,1500,3466756.88,3465256.88,0
"TC_GDP_mil",445230.48,387843554546.73,1500,3466756.88,3465256.88,0
"GDP_PROP",11.07,1218.21,0,513.9,513.9,0
"FC_CAP_LAT",46.09,217.99,-35.47,64.13,99.6,0
"FC_CAP_LON",29.46,2026.91,-21.82,253,274.82,0
"TC_CAP_LAT",41.94,491.08,-35.47,64.13,99.6,0
"TC_CAP_LON",41.46,3293.15,-21.82,253,274.82,0
"CAP_DIST_km",3404.96,18368089.69,82.15,17570.78,17488.63,0
"ComSONGLAN",0.64,0.23,0,1,1,0
"danceability",0.57,0.02,0.17,0.81,0.64,11.548
"energy",0.72,0.02,0.41,0.92,0.5,11.548
"loudiness",-5.09,2.99,-12.4,-0.48,11.92,11.548
"speechiness",0.05,0,0.03,0.16,0.13,11.548
"acousticness",0.24,0.06,0,0.84,0.84,11.548
"instrumentalness",0,0,0,0.03,0.03,11.548
"liveness",0.14,0.01,0.02,0.43,0.41,11.548
"valence",0.38,0.03,-0.55,0.76,1.31,11.548
"tempo",123.1,550.4,71.92,205.01,133.09,11.548
"duration_ms",184161.46,103274107.02,166173,232947,66774,11.548
