"Country","VBlocs1_EB","VBlocs2_SRW"
"Albania","1","3"
"Armenia","1","4"
"Australia","1","5"
"Austria","2","2"
"Azerbaijan","3","4"
"Belarus","4","4"
"Belgium","5","4"
"Bosnia & Herzegovina","1","2"
"Bulgaria","6","3"
"Croatia","1","2"
"Cyprus","7","3"
"Czech Republic","8","4"
"Denmark","1","5"
"Estonia","9","1"
"F.Y.R. Macedonia","10","2"
"Finland","11","1"
"France","12","2"
"Georgia","13","4"
"Germany","14","2"
"Greece","15","3"
"Hungary","16","1"
"Iceland","17","5"
"Ireland","1","3"
"Israel","18","4"
"Italy","19","3"
"Latvia","20","1"
"Lithuania","21","1"
"Malta","22","4"
"Moldova","23","4"
"Montenegro","1","2"
"Norway","24","5"
"Poland","25","1"
"Russia","26","4"
"San Marino","19","3"
"Serbia","1","2"
"Slovenia","1","2"
"Spain","19","6"
"Sweden","1","5"
"Switzerland","1","2"
"The Netherlands","1","1"
"Ukraine","3","4"
"United Kingdom","1","3"
