"","mean","variance","min","max","range","NA %"
"Average_Points",5.18,6.706,0,12,12,0
"FC_NonCOB",24641.89,4925002695.24,1,844024,844023,55
"FC_NonCitzens",24012.498,5690815617.328,0,928257,928257,46.131
"FC_COB",10189782.737,183045414750420,290507,54758099,54467592,54.762
"FC_Citizens",16452411.522,446871194297009,306044,73523726,73217682,45.238
"FC_Population",15021478.421,443090862895409,33005,82800000,82766995,4.762
"METRIC_COB",0.022,0.004,0,0.651,0.651,56.31
"METRIC_Citizens",0.019,0.002,0,0.476,0.476,49.464
"METRIC_COBCit",0.043,0.012,0,1.093,1.093,56.369
"danceability",0.565,0.017,0.17,0.809,0.639,11.548
"loudiness",-5.093,2.993,-12.399,-0.482,11.917,11.548
"liveness",0.145,0.005,0.021,0.434,0.413,11.548
"energy",0.72,0.018,0.414,0.917,0.503,11.548
"speechiness",0.05,0,0.027,0.158,0.131,11.548
"acousticness",0.235,0.06,0.001,0.836,0.835,11.548
"instrumentalness",0.001,0,0,0.027,0.027,11.548
"acousticness.1",NA,NA,NA,NA,NA,NA
"valence",0.382,0.031,-0.548,0.758,1.306,11.548
"tempo",123.099,550.401,71.915,205.008,133.093,11.548
"duration_ms",184161.459,103274107.023,166173,232947,66774,11.548
"TC_NumNeigh",3.401,5.928,0,9,9,0
"FC_CAP_LON",29.46,2026.908,-21.817,253,274.817,0
"FC_CAP_LAT",46.088,217.985,-35.474,64.126,99.6,0
"TC_CAP_LON",41.455,3293.147,-21.817,253,274.817,0
"TC_CAP_LAT",41.943,491.076,-35.474,64.126,99.6,0
"FC_GDP_mil",474131.913,619276006218.892,1500,3466756.88,3465256.88,0
"TC_GDP_mil",445230.483,387843554546.728,1500,3466756.88,3465256.88,0
"GDP_PROP",11.072,1218.21,0.001,513.897,513.896,0
"CAP_DIST_km",3404.963,18368089.689,82.147,17570.778,17488.631,0
"OOA",11.756,41.435,1,26,25,0
